TEMP,RELHUMID,PRESS,WINDSP,PRECI,Moisture
22.19,70.06,101.57,1.68,0.04,0.63
22.04,71.69,101.57,2.12,0.39,0.62
21.76,77.38,101.52,3.61,1.41,0.62
21.53,73.31,101.43,4.12,0.52,0.62
21.1,70.5,101.41,4.28,0.14,0.62
20.91,63.56,101.37,4.13,0,0.62
20.9,60.62,101.22,2.93,0,0.62
21.72,58.12,101.21,2.09,0,0.61
21.81,66.5,101.21,2.46,0,0.61
21.69,71.19,101.22,2.38,0,0.61
20.65,74.81,101.32,4.04,0,0.6
20.36,70.38,101.34,4.63,0,0.6
19.36,66.81,101.47,4.77,0,0.6
19.08,59,101.61,5.23,0,0.59
18.52,58.19,101.67,4.75,0,0.59
19.38,56.88,101.53,3.89,0,0.59
20.44,61.75,101.56,2.76,0,0.59
21.08,66.5,101.77,4.02,0,0.59
20.33,68.62,101.75,5.16,0,0.59
20.59,70.12,101.76,4.84,0,0.58
20.57,66.69,101.79,4.72,0,0.58
20.11,63.31,101.83,4.33,0,0.58
20.62,67.31,101.74,3.88,0,0.57
21.12,68.44,101.75,3.55,0,0.57
21.02,70.62,101.8,3.75,0,0.57
21.39,67.56,101.7,2.75,0,0.56
22.13,69.5,101.55,2.5,0.01,0.56
21.95,75.75,101.45,4.72,0.01,0.56
20.95,68,101.62,4.24,0,0.55
21.13,67.81,101.51,2.28,0,0.55
21.71,73,101.43,2,0,0.55
22.21,74.12,101.57,1.2,0,0.55
21.69,66.31,101.74,3.2,0,0.55
21.26,66.88,101.66,3.6,0,0.55
21.41,63.5,101.51,3.3,0,0.55
22.01,67,101.38,2.86,0,0.54
22.71,72.19,101.24,2.69,0,0.54
23.42,73.94,101.25,2.56,0,0.54
22.78,66.19,101.39,3.12,0,0.53
22.67,68.31,101.32,2.6,0,0.53
23.32,74.88,101.28,2.46,0,0.53
23.29,71.06,101.51,2.26,0,0.53
23.53,62.94,101.7,2.13,0,0.52
23.7,63.69,101.84,2.41,0,0.52
24.07,66.75,101.92,2.67,0,0.52
24.12,66.56,101.86,2.62,0,0.52
23.55,65.56,101.69,2.79,0,0.52
23.63,73.38,101.58,2.27,0,0.52
23.83,75.81,101.61,2.29,0,0.52
24.17,79.12,101.36,3.45,0,0.52
24.77,82.94,100.95,4.88,0.01,0.51
24.94,86.62,100.92,6.79,0.02,0.51
25.15,86.12,101.02,7.09,0.02,0.51
25.86,80,101.18,4.63,0.13,0.51
25.05,78.12,101.38,2.23,0.1,0.51
24.65,63.56,101.37,2.55,0,0.5
24.56,71.38,101.17,3.17,0,0.5
24.87,69.44,101.35,3.06,0,0.5
25.37,65.69,101.36,2.33,0,0.5
25.46,70.06,101.27,3.09,0,0.5
26.01,74.56,101.13,4.97,0,0.49
26.4,72.38,100.86,5.66,0,0.49
25.9,74.75,100.85,5.22,0,0.49
26.08,83.94,100.77,6.27,1.79,0.49
26.95,75.19,100.82,3.26,1.73,0.49
26.65,66.38,100.93,3.14,0.74,0.49
25.88,81.31,100.86,3.87,38.01,0.49
25.67,82.44,100.74,4.08,7.99,0.5
26.6,84.31,100.67,6.19,12.88,0.51
26.58,86.69,100.73,8.27,25.23,0.54
25.94,68.94,100.94,3.27,4.23,0.55
25.68,54,101.28,3.54,0.02,0.54
25.35,53.19,101.38,1.92,0,0.54
25.08,52.81,101.31,2.62,0,0.53
25.01,62.25,101.13,2.65,0,0.53
25.49,75.12,100.98,4.1,1.09,0.53
26.3,83.56,100.96,5.42,1.49,0.52
26.28,81.56,101.11,3.7,4.06,0.52
24.66,72.25,101.14,3.16,15.87,0.53
25.79,59.94,101.34,1.94,0,0.52
25.72,76.81,101.19,3.86,0.01,0.52
26.4,82.38,101.02,4.72,0,0.52
26.95,83.81,100.98,5.09,0,0.52
26.9,83.19,101.02,5.59,0,0.52
26.96,84.25,101.08,4.98,0,0.51
26.96,86,101.08,6.1,0.02,0.51
27.33,85.19,100.95,7.23,0.02,0.51
27.44,85.38,100.83,7.44,0.02,0.5
27.4,86.44,100.86,8.52,0.01,0.5
27.31,88,100.99,6.91,0.04,0.5
27.21,87.31,100.83,7.47,0.11,0.49
27.44,87.5,100.66,8.51,0.2,0.49
27.8,86.12,100.73,9,0.4,0.49
27.51,86.81,100.83,8.83,0.45,0.49
27.46,87.5,100.77,7.66,0.72,0.48
27.49,88.75,100.76,5.56,0.82,0.48
27.69,88.94,100.78,5.4,0.38,0.48
27.83,88.75,100.77,5.55,0.3,0.48
28.12,85.69,100.77,4.59,0.19,0.48
28.15,84.19,100.71,4.39,0.33,0.48
28.61,76.56,100.71,3.73,0.17,0.48
27.65,80,100.79,4.36,0,0.48
27.44,79.62,100.88,5.23,0,0.48
27.47,78.81,100.87,5.95,0,0.48
27.84,79.12,100.68,7.16,0,0.48
28.14,74.75,100.62,4.37,0.73,0.48
28.12,74.81,100.76,4.25,1.28,0.48
28.41,81.31,100.75,6.67,2.16,0.47
28.83,81.88,100.6,9.12,6.98,0.47
28.55,85.94,100.48,9.04,8.96,0.48
28.69,86.56,100.48,8.63,7.3,0.48
28.59,87.94,100.42,9.05,8.97,0.48
28.54,87.62,100.46,8.64,6.59,0.48
28.64,88.5,100.48,8.73,4.12,0.48
28.64,88.62,100.42,8.78,1.41,0.48
28.84,86.38,100.53,6.61,0.77,0.48
28.5,86.44,100.72,5.61,0.72,0.48
28.87,82.69,100.7,5.23,0.78,0.48
29.25,81.69,100.78,6.03,0.73,0.47
29.11,82.88,100.77,6.73,1.66,0.47
28.58,84.62,100.89,6.27,6.08,0.48
28.45,80.19,101.02,4.23,3.26,0.49
29.01,78.75,100.93,5.17,0.78,0.49
29.13,80.5,100.84,5.53,0.59,0.48
29.36,81.06,100.76,7.06,0.87,0.48
29.21,81.88,100.89,6.98,2.39,0.48
29.26,80.19,100.85,6.51,1.68,0.48
28.98,82.5,100.79,5.72,3.33,0.48
29.12,81.06,100.74,5.75,4.57,0.48
28.87,82.19,100.84,4.04,6,0.48
29.19,81.62,100.83,5.59,5.6,0.48
29.58,77.56,100.78,4.91,6.41,0.49
29.73,79.56,100.56,5.38,4.61,0.49
29.69,82.94,100.37,6.12,6.43,0.49
29.76,86.81,100.22,7.12,11.84,0.49
29.62,86.44,100.13,6.28,8.22,0.49
29.87,85.06,100.12,3.74,3.31,0.49
30.05,86.56,100.29,4.1,7.33,0.5
30.32,82.81,100.41,3.29,38.53,0.5
30.39,83,100.27,6.05,4.81,0.5
30.33,80.88,100.22,5.21,1.32,0.5
30.12,84.94,100.35,6.14,1.02,0.5
30.05,84.06,100.42,5.75,3.08,0.5
30.3,83.44,100.39,6.07,1.67,0.5
30.61,79.81,100.33,5.84,1.26,0.5
30.48,79.88,100.33,5.31,5.43,0.49
29.7,83.38,100.32,3.32,4.72,0.52
30.53,74.19,100.16,1.38,2.99,0.52
30.73,70.62,99.93,2.09,3.49,0.52
30.8,76.81,99.77,4.41,3.15,0.52
30.84,82.62,100.08,5.65,7.14,0.52
30.58,84.69,100.24,8.02,10.93,0.52
30.54,81.94,100.33,8.09,9.58,0.53
30.42,86.12,100.28,8.66,8.22,0.53
30.46,86.56,100.11,8.62,9.27,0.53
30.44,86.25,100.12,6.16,5.18,0.53
30.46,77.25,100.33,3.48,2.6,0.52
30.01,78.38,100.36,3.68,0.46,0.52
